"instate_tuition","outstate_tuition","room_and_board","enrollment","school_type","religious_affiliation","acad_calendar","setting_urban","setting_suburb","endowment","salary","accept_rate","stud_fac_ratio","four_year_grad_rate"
"Tuition & Fees $34,290 (2018-19)","Tuition & Fees $34,290 (2018-19)","Room and Board $9,480 (2018-19)","Total Enrollment 5,101","Private, Coed","Roman Catholic","Semester","Suburban","Suburban","N/A","            $47,600*","            62%","            12:1","            34%"
"In-state Tuition & Fees $6,870 (2018-19)","Out-of-state Tuition & Fees $16,374 (2018-19)","Room and Board $15,898 (2018-19)","Total Enrollment 40,439","Public, Coed","None","Semester","City","City","$62.5 million +","            $46,800*","            59%","            23:1","            1%"
"Tuition & Fees $28,870 (2018-19)","Tuition & Fees $28,870 (2018-19)","Room and Board $7,992 (2018-19)","Total Enrollment 5,067","Private, Coed"," Baptist","4-1-4","Suburban","Suburban","$47.2 million +","            $46,000*","            39%","            12:1","            44%"
"In-state Tuition & Fees $7,368 (2018-19)","Out-of-state Tuition & Fees $23,508 (2018-19)","Room and Board $9,252 (2018-19)","Total Enrollment 14,432","Public, Coed","None","Semester","City","City","$39.1 million","            $48,900*","            64%","            16:1","            18%"
"In-state Tuition & Fees $10,496 (2018-19)","Out-of-state Tuition & Fees $26,533 (2018-19)","Room and Board $10,302 (2018-19)","Total Enrollment 46,497","Public, Coed","None","Semester","Urban","Urban","$145.1 million +","            $54,400*","            71%","            24:1","            22%"
"In-state Tuition & Fees $8,764 (2018-19)","Out-of-state Tuition & Fees $12,128 (2018-19)","Room and Board $7,774 (2017-18)","Total Enrollment 12,527","Public, Coed","None","Semester","Rural","Rural","$121.9 million","            $48,600*","            91%","            16:1","            N/A"
"In-state Tuition & Fees $14,704 (2018-19)","Out-of-state Tuition & Fees $14,704 (2018-19)","Room and Board $10,622 (2018-19)","Total Enrollment 14,554","Public, Coed","None","Semester","Rural","Rural","$133.4 million +","            $47,300*","            76%","            14:1","            23%"
"In-state Tuition & Fees $10,275 (2017-18)","Out-of-state Tuition & Fees $27,327 (2017-18)","Room and Board $9,363 (2017-18)","Total Enrollment 16,740","Public, Coed","None","Semester","Urban","Urban","$81.3 million +","            $47,000*","            76%","            18:1","            32%"
"In-state Tuition & Fees $9,061 (2018-19)","Out-of-state Tuition & Fees $12,425 (2018-19)","Room and Board $8,216 (2018-19)","Total Enrollment 10,261","Public, Coed","None","Semester","Rural","Rural","$214.5 million","            Selective","            N/A","            39%","            10,261"
"Tuition & Fees $35,680 (2018-19)","Tuition & Fees $35,680 (2018-19)","Room and Board $14,300 (2018-19)","Total Enrollment 3,283","Private, Coed","None","Semester","Urban","Urban","N/A","            $48,700*","            72%","            18:1","            26%"
"Tuition & Fees $21,342 (2018-19)","Tuition & Fees $21,342 (2018-19)","Room and Board $9,942 (2018-19)","Total Enrollment 5,224","Private, Coed","None","Semester","Rural","Rural","$41.3 million","            $41,900*","            74%","            13:1","            42%"
"In-state Tuition & Fees $8,634 (2017-18)","Out-of-state Tuition & Fees $23,606 (2017-18)","Room and Board $14,620 (2017-18)","Total Enrollment 8,219","Public, Coed","None","Semester","Urban","Urban","$246.6 million +","            $45,400*","            76%","            N/A","            0%"
"Tuition & Fees $29,850 (2018-19)","Tuition & Fees $29,850 (2018-19)","Room and Board $11,100 (2018-19)","Total Enrollment 7,358","Private, Coed","Roman Catholic","Semester","Urban","Urban","$40.1 million","            $43,600*","            85%","            13:1","            15%"
"In-state Tuition & Fees $7,693 (2018-19)","Out-of-state Tuition & Fees $23,776 (2018-19)","Room and Board $10,692 (2018-19)","Total Enrollment 24,154","Public, Coed","None","Semester","City","City","$101.9 million","            Selective","            N/A","            19%","            24,154"
"Tuition & Fees $29,998 (2018-19)","Tuition & Fees $29,998 (2018-19)","Room and Board $8,440 (2018-19)","Total Enrollment 2,355","Private, Coed","Roman Catholic","Semester","Suburban","Suburban","$15.5 million +","            $48,300*","            78%","            10:1","            16%"
"Tuition & Fees $23,438 (2018-19)","Tuition & Fees $23,438 (2018-19)","Room and Board $11,156 (2018-19)","Total Enrollment 3,992","Private","None","N/A","N/A","N/A","$68.5 million +","            $42,300*","            58%","            20:1","            26%"
"In-state Tuition & Fees $10,112 (2018-19)","Out-of-state Tuition & Fees $14,164 (2018-19)","Room and Board $11,358 (2018-19)","Total Enrollment 16,607","Public, Coed","None","Semester","Urban","Urban","N/A","            $47,300*","            90%","            18:1","            22%"
"In-state Tuition & Fees $12,430 (2018-19)","Out-of-state Tuition & Fees $12,430 (2018-19)","Room and Board $10,167 (2018-19)","Total Enrollment 20,313","Public, Coed","None","Semester","City","City","$72.6 million","            $43,900*","            73%","            17:1","            14%"
"In-state Tuition & Fees $8,679 (2017-18)","Out-of-state Tuition & Fees $26,463 (2017-18)","Room and Board $12,640 (2017-18)","Total Enrollment 14,353","Public, Coed","None","Semester","City","City","$114.3 million +","            $42,800*","            85%","            15:1","            0%"
"In-state Tuition & Fees $5,785 (2018-19)","Out-of-state Tuition & Fees $17,725 (2018-19)","Room and Board $10,058 (2018-19)","Total Enrollment 9,913","Public, Coed","None","Semester","City","City","$86.6 million","            $46,600*","            46%","            16:1","            N/A"
